energy,danceability,valence
63,72,60
20,80,51
53,68,56
48,56,54
68,67,22
67,57,76
74,66,68
85,57,41
80,59,38
50,73,97
60,61,35
74,56,55
74,56,40
71,41,77
69,36,51
83,37,35
38,94,52
98,69,85
72,58,42
75,68,59
51,88,74
46,93,68
58,54,65
71,64,35
82,56,39
65,72,70
69,62,52
77,78,86
56,81,67
57,68,17
50,65,78
80,59,21
58,67,75
64,61,16
82,56,44
82,49,16
80,40,37
71,61,48
76,62,47
59,68,67
58,34,30
82,67,81
52,57,78
25,53,37
75,75,49
62,56,53
54,43,62
79,80,62
84,69,66
47,83,65
91,64,38
50,70,61
67,70,72
23,67,67
56,64,43
88,74,71
81,35,48
80,64,78
74,43,65
64,42,49
63,81,86
75,61,40
74,73,68
64,65,34
60,50,87
51,92,64
47,61,67
84,55,81
60,32,43
63,67,94
88,47,89
87,59,83
54,44,56
87,62,98
15,54,25
37,72,67
56,45,58
71,56,78
62,79,48
57,68,50
37,57,24
89,53,54
57,55,17
52,85,69
46,57,32
54,67,65
62,46,42
13,51,22
55,81,56
51,67,9
58,57,11
80,41,58
72,61,65
42,92,76
52,59,13
40,56,17
67,83,63
36,51,17
62,57,29
73,49,22
81,54,75
63,63,39
46,79,56
73,84,43
83,45,41
53,40,34
59,75,17
43,73,35
54,87,73
53,67,28
61,80,77
53,63,96
98,71,28
30,75,48
58,72,52
88,69,87
71,75,58
63,53,86
64,67,97
80,42,96
61,70,96
46,55,69
59,66,93
26,69,64
70,67,4
94,55,50
83,83,55
97,63,40
45,24,43
64,79,86
82,63,30
55,82,73
58,79,4
93,67,21
52,62,42
71,72,92
72,62,78
77,53,70
67,73,70
42,74,59
46,75,49
33,37,13
90,69,42
44,76,34
58,83,42
94,63,75
46,71,90
71,76,67
56,78,60
65,67,53
7,61,33
65,48,84
69,38,86
92,43,68
81,50,83
59,65,39
77,53,76
30,51,63
71,82,94
67,60,48
14,25,10
56,76,31
42,34,22
59,83,92
73,73,71
79,80,94
67,70,89
50,69,80
65,74,54
81,88,85
72,83,85
92,59,16
64,70,74
56,78,59
64,33,26
43,81,65
46,56,69
65,69,95
86,65,49
89,84,55
56,54,35
86,95,87
47,88,64
93,69,72
34,38,60
90,74,69
88,74,53
14,30,18
64,44,67
39,59,25
99,65,66
88,74,69
87,87,69
53,55,23
76,71,74
86,72,42
79,70,96
58,50,43
80,67,97
81,47,54
66,51,52
81,65,6
73,66,62
77,84,64
75,75,27
75,80,51
76,66,56
71,77,36
72,67,81
88,77,93
92,78,22
74,62,94
75,73,40
31,65,60
90,80,3
95,69,6
77,62,39
96,78,21
96,69,14
95,67,43
75,59,69
61,94,83
54,34,45
93,78,8
57,83,66
67,72,97
74,80,83
73,80,83
59,83,79
49,87,36
88,91,87
40,54,29
73,84,28
68,88,58
83,79,81
84,88,88
52,81,12
85,66,30
96,59,50
75,54,54
89,41,70
42,70,21
45,71,13
74,77,89
56,53,50
19,34,7
67,91,66
88,59,22
41,88,78
55,51,13
52,71,80
59,80,74
90,57,60
57,38,56
50,44,43
96,53,31
62,44,31
26,37,21
77,51,18
56,45,61
43,45,33
42,33,8
77,56,48
85,76,69
54,48,57
77,24,40
68,80,48
63,69,80
77,67,5
81,48,37
64,56,74
49,41,10
67,73,96
32,84,96
61,87,86
90,41,42
98,62,80
98,62,39
38,47,50
61,81,56
88,70,63
47,96,96
72,68,74
83,69,69
86,58,75
58,55,46
